MODELO,MAE,RMSE,R2
Regresión Lineal,0.011548654866411814,0.01383579098351097,-0.42903118671999585
Random Forest,0.012427012048694236,0.015171448255299614,-0.7182557350404959
Gradient Boosting,0.014231052698938571,0.01864723638745673,-1.595748874569571
