fecha,rendimiento,NDVI,EVI,Precipitacion,TempMax,TempMin,HumedadRelativa,month_sin,month_cos
2012-01-01,0.0276296102799471,0.699554042211603,0.3981181130465966,89.925,23.0425,10.575833333333334,85.09083333333334,0.4999999999999999,0.8660254037844387
2012-02-01,0.029488799009065,0.6716283878656568,0.3903453256784772,64.75,23.77916666666667,10.154166666666669,80.86666666666666,0.8660254037844386,0.5000000000000001
2012-03-01,0.029747019665887,0.6436349246050339,0.3765916888750649,224.175,23.403333333333336,12.153333333333334,85.33666666666666,1.0,6.123233995736766e-17
2012-04-01,0.0299535961913445,0.6977951673223283,0.4511251000563189,272.475,22.6925,12.070833333333333,88.56583333333333,0.8660254037844387,-0.4999999999999998
2012-05-01,0.0355828065100627,0.6972306435446287,0.4478696155596187,204.925,22.46333333333333,11.777500000000002,87.86416666666666,0.4999999999999999,-0.8660254037844387
2012-06-01,0.0368739097941724,0.7101026160017031,0.4157387070155899,134.6,22.598333333333333,10.580833333333333,85.21416666666667,1.2246467991473532e-16,-1.0
2012-07-01,0.0344982797514106,0.7045823233782359,0.4416016528823901,164.6,21.725,10.990833333333333,86.235,-0.4999999999999997,-0.8660254037844388
2012-08-01,0.0291789342208787,0.7005508896784414,0.4232523139612296,180.35,22.355,10.965833333333334,85.37916666666666,-0.8660254037844385,-0.5000000000000004
2012-09-01,0.0268033041781169,0.6910452167016979,0.3970873670254292,82.925,22.710833333333337,11.063333333333333,82.595,-1.0,-1.8369701987210294e-16
2012-10-01,0.0337236177809448,0.7023553802720546,0.4211317293825586,201.5,23.313333333333333,11.260833333333332,86.17083333333333,-0.8660254037844386,0.5000000000000001
2012-11-01,0.0397659811505781,0.7033506329918673,0.4175711101374196,159.725,22.95,11.51,87.755,-0.5000000000000004,0.8660254037844384
2012-12-01,0.0466862947534059,0.7042195253605346,0.4043204420832066,46.475,23.1,10.414166666666668,86.66250000000001,-2.4492935982947064e-16,1.0
2013-01-01,0.0694257988568463,0.657743881387922,0.3882844582892348,38.2,24.39916666666667,9.1425,81.0425,0.4999999999999999,0.8660254037844387
2013-02-01,0.0494767665741493,0.6371136565791268,0.3316704552959018,79.775,24.245833333333334,12.045833333333334,82.8325,0.8660254037844386,0.5000000000000001
2013-03-01,0.0488434639620002,0.6325237274059414,0.3587354560575049,125.75,24.876666666666665,12.170833333333334,85.22,1.0,6.123233995736766e-17
2013-04-01,0.0767879417230797,0.6778124481213932,0.4463990696074104,242.2,24.399166666666662,12.910000000000002,86.53416666666668,0.8660254037844387,-0.4999999999999998
2013-05-01,0.0741755684479646,0.6883040842447539,0.4102851345209334,195.025,22.718333333333334,11.735833333333332,88.065,0.4999999999999999,-0.8660254037844387
2013-06-01,0.0722756606115173,0.7026301540444189,0.4319800997719345,107.95,22.47833333333333,11.65,86.27499999999999,1.2246467991473532e-16,-1.0
2013-07-01,0.0816168741407167,0.6817500922000538,0.4199803506228733,87.6,22.230833333333333,10.5425,85.25083333333333,-0.4999999999999997,-0.8660254037844388
2013-08-01,0.0609553764193519,0.7102890713225662,0.4224112279995522,153.95,22.455,10.7675,85.66083333333334,-0.8660254037844385,-0.5000000000000004
2013-09-01,0.0680800308060294,0.6853056266023936,0.4503001739002462,97.325,23.61916666666667,11.446666666666667,84.21916666666667,-1.0,-1.8369701987210294e-16
2013-10-01,0.0837542704567199,0.7009275747395878,0.4262366616118705,124.625,23.0375,10.585,85.30083333333333,-0.8660254037844386,0.5000000000000001
2013-11-01,0.0881082259152451,0.6986461035456654,0.4209139323109729,143.35,22.558333333333334,12.139166666666666,89.83833333333332,-0.5000000000000004,0.8660254037844384
2013-12-01,0.0882665515682823,0.7169524220031042,0.4132165491920925,138.05,22.98,10.665833333333332,87.12,-2.4492935982947064e-16,1.0
2014-01-01,0.0601392536931828,0.6899066746564565,0.3982431470793978,79.175,23.8175,10.3175,81.74333333333333,0.4999999999999999,0.8660254037844387
2014-02-01,0.0519898197110205,0.627297815801317,0.372625250588838,140.5,24.313333333333333,11.816666666666668,81.06583333333333,0.8660254037844386,0.5000000000000001
2014-03-01,0.0492535134104405,0.6511237320703915,0.3674576472917177,137.86666666666667,25.451666666666668,12.1075,82.58166666666666,1.0,6.123233995736766e-17
2014-04-01,0.0494914530887518,0.6476616024818227,0.3980842092770428,208.4333333333333,24.255,12.926666666666668,85.48083333333334,0.8660254037844387,-0.4999999999999998
2014-05-01,0.062459165556718,0.7045536509999429,0.392189097657468,230.5666666666667,23.58583333333333,11.755833333333332,86.6075,0.4999999999999999,-0.8660254037844387
2014-06-01,0.0561537640814684,0.6770469439818158,0.4170851416964076,124.575,23.015833333333333,11.025,85.18083333333333,1.2246467991473532e-16,-1.0
2014-07-01,0.0735233605981938,0.6740371620602076,0.4087105816305423,253.725,22.727500000000003,11.183333333333332,83.99166666666666,-0.4999999999999997,-0.8660254037844388
2014-08-01,0.0684671424340785,0.6643379128474626,0.4106158461104609,160.275,23.555,9.41,81.485,-0.8660254037844385,-0.5000000000000004
2014-09-01,0.0542502466549779,0.6790299552237749,0.4055779271145602,150.63333333333333,24.026666666666667,11.238333333333337,82.62166666666667,-1.0,-1.8369701987210294e-16
2014-10-01,0.0654928964551872,0.6822774221295747,0.4313804601914937,279.225,23.081666666666667,11.78,86.96499999999999,-0.8660254037844386,0.5000000000000001
2014-11-01,0.0663256853292768,0.7056715126031333,0.4188016052534408,213.1,22.9025,11.724166666666669,88.44583333333333,-0.5000000000000004,0.8660254037844384
