MODELO,MAE,RMSE,R2
Random Forest,0.012967500000000015,0.01874909664490534,0.5244793709841047
Regresión Lineal,0.0167954848961743,0.022187452370774904,0.33407772376678424
Gradient Boosting,0.016886250907455658,0.022565939200729832,0.3111645424267362
