Código Dane departamento;Departamento;Código Dane municipio;Municipio;Grupo cultivo;Subgrupo;Cultivo;Desagregación cultivo;Año;Periodo;Área sembrada;Área cosechada;Producción;Rendimiento;Ciclo del cultivo;Estado físico del cultivo;Código del cultivo;Nombre científico del cultivo
15;Boyacá;15183;Chita;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2024;2024;30;5;5;1;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15185;Chitaraque;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2019;2019;458;406;484;1.19;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15185;Chitaraque;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2020;2020;357;311;343;1.1;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15185;Chitaraque;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2021;2021;367.19;309.53;281.67;0.91;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15185;Chitaraque;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2022;2022;377.78;323.35;381.88;1.18;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15185;Chitaraque;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2023;2023;406.99;354.9;382.99;1.08;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15185;Chitaraque;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2024;2024;416.64;354.97;474.51;1.34;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15212;Coper;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2019;2019;229;199;246;1.24;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15212;Coper;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2020;2020;231;206;235;1.14;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15212;Coper;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2021;2021;236.56;213.55;202.87;0.95;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15212;Coper;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2022;2022;258.81;222.65;218.51;0.98;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15212;Coper;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2023;2023;271.68;242.91;194.71;0.8;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15212;Coper;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2024;2024;277.52;247.63;245.19;0.99;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15223;Cubará;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2019;2019;4;0;0;0;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15223;Cubará;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2020;2020;4;0;0;0;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15223;Cubará;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2021;2021;5;4;3.12;0.78;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15223;Cubará;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2022;2022;5;5;3.5;0.7;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15223;Cubará;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2023;2023;5;5;3.5;0.7;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15223;Cubará;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2024;2024;6;1;0.7;0.7;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15236;Chivor;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2020;2020;3;0;0;0;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15236;Chivor;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2021;2021;3.2;3;2.34;0.78;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15236;Chivor;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2022;2022;3.6;3.1;2.48;0.8;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
