fecha,TempMax,TempMin,HumedadRelativa
2012-01-01,23.0425,10.575833333333334,85.09083333333334
2012-02-01,23.77916666666667,10.154166666666667,80.86666666666666
2012-03-01,23.403333333333336,12.153333333333334,85.33666666666666
2012-04-01,22.6925,12.070833333333333,88.56583333333333
2012-05-01,22.463333333333335,11.777500000000002,87.86416666666666
2012-06-01,22.598333333333333,10.580833333333333,85.21416666666667
2012-07-01,21.724999999999998,10.990833333333333,86.235
2012-08-01,22.355,10.965833333333334,85.37916666666666
2012-09-01,22.710833333333337,11.063333333333333,82.595
2012-10-01,23.313333333333333,11.260833333333332,86.17083333333333
2012-11-01,22.95,11.51,87.755
2012-12-01,23.099999999999998,10.414166666666667,86.66250000000001
2013-01-01,24.39916666666667,9.1425,81.0425
2013-02-01,24.245833333333334,12.045833333333334,82.8325
2013-03-01,24.876666666666665,12.170833333333334,85.22
2013-04-01,24.399166666666662,12.910000000000002,86.53416666666668
2013-05-01,22.718333333333334,11.735833333333332,88.065
2013-06-01,22.478333333333335,11.65,86.27499999999999
2013-07-01,22.230833333333333,10.542499999999999,85.25083333333333
2013-08-01,22.455,10.7675,85.66083333333334
2013-09-01,23.61916666666667,11.446666666666667,84.21916666666667
2013-10-01,23.037499999999998,10.584999999999999,85.30083333333333
2013-11-01,22.558333333333334,12.139166666666666,89.83833333333332
2013-12-01,22.98,10.665833333333333,87.12
2014-01-01,23.8175,10.3175,81.74333333333333
2014-02-01,24.313333333333333,11.816666666666668,81.06583333333333
2014-03-01,25.451666666666668,12.1075,82.58166666666666
2014-04-01,24.255,12.926666666666668,85.48083333333334
2014-05-01,23.58583333333333,11.755833333333333,86.6075
2014-06-01,23.015833333333333,11.025,85.18083333333333
2014-07-01,22.727500000000003,11.183333333333332,83.99166666666666
2014-08-01,23.554999999999996,9.41,81.485
2014-09-01,24.026666666666667,11.238333333333335,82.62166666666667
2014-10-01,23.081666666666667,11.780000000000001,86.96499999999999
2014-11-01,22.9025,11.724166666666667,88.44583333333333
2014-12-01,23.275833333333335,10.2575,85.70416666666667
2015-01-01,23.814166666666665,7.866666666666667,82.29333333333334
2015-02-01,25.1825,11.594999999999999,82.07166666666667
2015-03-01,25.91416666666667,11.774166666666666,80.72166666666666
2015-04-01,23.933333333333334,12.385833333333332,85.53833333333334
2015-05-01,24.37,12.2975,85.30916666666667
2015-06-01,23.293333333333333,11.409999999999998,84.07083333333334
2015-07-01,23.581666666666667,10.011666666666665,82.83749999999999
2015-08-01,24.436666666666667,11.765,81.8125
2015-09-01,24.522499999999997,10.878333333333332,80.28833333333334
2015-10-01,24.833333333333332,12.340833333333334,83.20333333333333
2015-11-01,23.270833333333332,11.696666666666667,87.21583333333332
2015-12-01,24.5,10.4525,81.42833333333333
2016-01-01,26.6575,11.450000000000001,75.57833333333333
2016-02-01,27.36833333333333,12.611666666666666,73.69166666666666
2016-03-01,28.253333333333334,13.646666666666667,76.92916666666666
2016-04-01,25.6675,13.285833333333334,84.74166666666666
2016-05-01,23.865,12.805,86.31166666666667
2016-06-01,23.636666666666667,11.385833333333332,84.34750000000001
2016-07-01,22.53916666666667,11.217500000000001,84.1225
2016-08-01,23.39,11.190833333333332,82.99666666666667
2016-09-01,23.895,11.144166666666665,83.85166666666667
2016-10-01,23.31833333333333,12.160000000000002,86.15249999999999
2016-11-01,22.926666666666666,11.395000000000001,88.75416666666666
2016-12-01,22.6675,10.945833333333333,87.5075
2017-01-01,23.291666666666668,10.224166666666667,85.0975
2017-02-01,24.96083333333333,11.4425,79.66
2017-03-01,24.11583333333333,12.1875,85.09416666666667
2017-04-01,24.349999999999998,11.635,84.84833333333333
2017-05-01,23.074166666666667,12.314166666666667,88.00166666666667
2017-06-01,22.5025,11.112499999999999,87.36500000000001
2017-07-01,22.080833333333334,11.306666666666667,86.59666666666668
2017-08-01,23.138333333333335,11.1325,84.6675
2017-09-01,23.364166666666666,11.544166666666667,85.5025
2017-10-01,23.27916666666667,11.959166666666667,86.58666666666666
2017-11-01,22.41,12.444166666666666,89.70583333333333
2017-12-01,23.189166666666665,9.220833333333333,85.46333333333332
2018-01-01,23.6525,10.630833333333333,84.96666666666667
2018-02-01,24.548333333333332,10.881666666666668,78.76
2018-03-01,25.160833333333333,11.819166666666666,81.61
2018-04-01,22.47666666666667,12.100833333333334,87.97500000000001
2018-05-01,22.122500000000002,12.514166666666668,89.0625
2018-06-01,21.808333333333334,10.613333333333333,87.08083333333333
2018-07-01,21.9475,11.074166666666665,86.5125
2018-08-01,22.519166666666667,9.879166666666666,83.9875
2018-09-01,23.028333333333332,10.907499999999999,84.35583333333334
2018-10-01,23.139166666666668,12.088333333333333,87.66333333333334
2018-11-01,23.13083333333333,12.159166666666666,88.88666666666666
2018-12-01,23.05333333333333,9.940833333333332,82.97
2019-01-01,24.670833333333334,10.686666666666667,80.76416666666667
2019-02-01,25.67833333333333,11.673333333333332,77.87916666666666
2019-03-01,24.985833333333332,13.39,83.26166666666667
2019-04-01,24.088333333333335,13.114166666666668,86.40833333333335
2019-05-01,23.651666666666667,12.835833333333333,87.51166666666667
2019-06-01,22.436666666666667,11.487499999999999,87.46749999999999
2019-07-01,22.396666666666665,11.203333333333333,85.17916666666666
2019-08-01,22.786666666666665,11.112499999999999,84.15416666666667
2019-09-01,23.7825,11.323333333333332,82.615
2019-10-01,22.97083333333333,11.58,86.30666666666667
2019-11-01,22.85083333333333,12.406666666666666,89.47333333333334
2019-12-01,23.3075,12.546666666666667,87.26833333333333
