fecha,yyyymm,ndvi,evi,rendimiento,Precipitacion,TempMax,TempMin,HumedadRelativa
2012-01-01,2012-01,0.699554042211603,0.3981181130465966,0.02762961027994713,89.925,23.0425,10.575833333333334,85.09083333333334
2012-02-01,2012-02,0.6716283878656568,0.3903453256784772,0.02948879900906506,64.75,23.77916666666667,10.154166666666669,80.86666666666666
2012-03-01,2012-03,0.6436349246050339,0.3765916888750649,0.02974701966588701,224.175,23.403333333333336,12.153333333333334,85.33666666666666
2012-04-01,2012-04,0.6977951673223283,0.4511251000563189,0.02995359619134456,272.475,22.6925,12.070833333333333,88.56583333333333
2012-05-01,2012-05,0.6972306435446287,0.4478696155596187,0.03558280651006276,204.925,22.46333333333333,11.777500000000002,87.86416666666666
2012-06-01,2012-06,0.7101026160017031,0.4157387070155899,0.03687390979417244,134.6,22.598333333333333,10.580833333333333,85.21416666666667
2012-07-01,2012-07,0.7045823233782359,0.4416016528823901,0.03449827975141063,164.6,21.725,10.990833333333333,86.235
2012-08-01,2012-08,0.7005508896784414,0.4232523139612296,0.02917893422087875,180.35,22.355,10.965833333333334,85.37916666666666
2012-09-01,2012-09,0.6910452167016979,0.3970873670254292,0.02680330417811694,82.925,22.710833333333337,11.063333333333333,82.595
2012-10-01,2012-10,0.7023553802720546,0.4211317293825586,0.03372361778094481,201.5,23.313333333333333,11.260833333333332,86.17083333333333
2012-11-01,2012-11,0.7033506329918673,0.4175711101374196,0.03976598115057812,159.725,22.95,11.51,87.755
2012-12-01,2012-12,0.7042195253605346,0.4043204420832066,0.04668629475340599,46.475,23.1,10.414166666666668,86.66250000000001
2013-01-01,2013-01,0.657743881387922,0.3882844582892348,0.06942579885684633,38.2,24.39916666666667,9.1425,81.0425
2013-02-01,2013-02,0.6371136565791268,0.3316704552959018,0.04947676657414931,79.775,24.245833333333334,12.045833333333334,82.8325
2013-03-01,2013-03,0.6325237274059414,0.3587354560575049,0.04884346396200021,125.75,24.876666666666665,12.170833333333334,85.22
2013-04-01,2013-04,0.6778124481213932,0.4463990696074104,0.07678794172307973,242.2,24.399166666666662,12.910000000000002,86.53416666666668
2013-05-01,2013-05,0.6883040842447539,0.4102851345209334,0.07417556844796465,195.025,22.718333333333334,11.735833333333332,88.065
2013-06-01,2013-06,0.7026301540444189,0.4319800997719345,0.07227566061151733,107.95,22.47833333333333,11.65,86.27499999999999
2013-07-01,2013-07,0.6817500922000538,0.4199803506228733,0.08161687414071671,87.6,22.230833333333333,10.5425,85.25083333333333
2013-08-01,2013-08,0.7102890713225662,0.4224112279995522,0.06095537641935196,153.95,22.455,10.7675,85.66083333333334
2013-09-01,2013-09,0.6853056266023936,0.4503001739002462,0.06808003080602945,97.325,23.61916666666667,11.446666666666667,84.21916666666667
2013-10-01,2013-10,0.7009275747395878,0.4262366616118705,0.08375427045671996,124.625,23.0375,10.585,85.30083333333333
2013-11-01,2013-11,0.6986461035456654,0.4209139323109729,0.0881082259152451,143.35,22.558333333333334,12.139166666666666,89.83833333333332
2013-12-01,2013-12,0.7169524220031042,0.4132165491920925,0.08826655156828238,138.05,22.98,10.665833333333332,87.12
2014-01-01,2014-01,0.6899066746564565,0.3982431470793978,0.06013925369318282,79.175,23.8175,10.3175,81.74333333333333
2014-02-01,2014-02,0.627297815801317,0.372625250588838,0.05198981971102055,140.5,24.313333333333333,11.816666666666668,81.06583333333333
2014-03-01,2014-03,0.6511237320703915,0.3674576472917177,0.04925351341044053,137.86666666666667,25.451666666666668,12.1075,82.58166666666666
2014-04-01,2014-04,0.6476616024818227,0.3980842092770428,0.04949145308875184,208.4333333333333,24.255,12.926666666666668,85.48083333333334
2014-05-01,2014-05,0.7045536509999429,0.392189097657468,0.06245916555671806,230.5666666666667,23.58583333333333,11.755833333333332,86.6075
2014-06-01,2014-06,0.6770469439818158,0.4170851416964076,0.05615376408146842,124.575,23.015833333333333,11.025,85.18083333333333
2014-07-01,2014-07,0.6740371620602076,0.4087105816305423,0.07352336059819382,253.725,22.727500000000003,11.183333333333332,83.99166666666666
2014-08-01,2014-08,0.6643379128474626,0.4106158461104609,0.06846714243407856,160.275,23.555,9.41,81.485
2014-09-01,2014-09,0.6790299552237749,0.4055779271145602,0.05425024665497798,150.63333333333333,24.026666666666667,11.238333333333337,82.62166666666667
2014-10-01,2014-10,0.6822774221295747,0.4313804601914937,0.06549289645518722,279.225,23.081666666666667,11.78,86.96499999999999
2014-11-01,2014-11,0.7056715126031333,0.4188016052534408,0.0663256853292768,213.1,22.9025,11.724166666666669,88.44583333333333
2014-12-01,2014-12,0.7173932911008518,0.4089598470565094,0.06460062266151984,90.325,23.27583333333333,10.2575,85.70416666666667
2015-01-01,2015-01,0.6851277882477435,0.3869889313933989,0.04601010678328069,79.95,23.814166666666665,7.866666666666667,82.29333333333334
2015-02-01,2015-02,0.6432349441356454,0.3932393393501284,0.04351507341911382,70.025,25.1825,11.595,82.07166666666667
2015-03-01,2015-03,0.6413270151749542,0.3693876977465929,0.03383096087005933,145.2,25.91416666666667,11.774166666666666,80.72166666666666
2015-04-01,2015-04,0.685176465924261,0.3996727873409202,0.03907475980491853,258.0,23.933333333333334,12.385833333333332,85.53833333333334
