CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,1/1/2010 0:00,mm,0,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,2/1/2010 0:00,mm,35,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,3/1/2010 0:00,mm,108,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,4/1/2010 0:00,mm,173,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,5/1/2010 0:00,mm,145,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,6/1/2010 0:00,mm,169,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,7/1/2010 0:00,mm,173,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,8/1/2010 0:00,mm,95,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,9/1/2010 0:00,mm,51,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,10/1/2010 0:00,mm,51,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,11/1/2010 0:00,mm,76,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,12/1/2010 0:00,mm,59,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,1/1/2011 0:00,mm,5,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,2/1/2011 0:00,mm,32,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,3/1/2011 0:00,mm,81,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,4/1/2011 0:00,mm,257,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,5/1/2011 0:00,mm,252,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,6/1/2011 0:00,mm,195,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,7/1/2011 0:00,mm,108,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,8/1/2011 0:00,mm,135,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,9/1/2011 0:00,mm,151,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,10/1/2011 0:00,mm,165,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,11/1/2011 0:00,mm,150,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,12/1/2011 0:00,mm,32,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,1/1/2012 0:00,mm,15,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,2/1/2012 0:00,mm,45,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,3/1/2012 0:00,mm,138,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,4/1/2012 0:00,mm,212,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,5/1/2012 0:00,mm,224,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,6/1/2012 0:00,mm,164,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,7/1/2012 0:00,mm,287,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,8/1/2012 0:00,mm,166,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,9/1/2012 0:00,mm,100,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,10/1/2012 0:00,mm,106,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,11/1/2012 0:00,mm,107,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,12/1/2012 0:00,mm,50,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,1/1/2013 0:00,mm,2,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,2/1/2013 0:00,mm,35,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,3/1/2013 0:00,mm,72,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,4/1/2013 0:00,mm,89,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,5/1/2013 0:00,mm,188,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,6/1/2013 0:00,mm,116,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,7/1/2013 0:00,mm,165,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,8/1/2013 0:00,mm,162,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,9/1/2013 0:00,mm,72,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,10/1/2013 0:00,mm,48,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,11/1/2013 0:00,mm,102,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,12/1/2013 0:00,mm,8,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,1/1/2014 0:00,mm,0,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,2/1/2014 0:00,mm,8,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,3/1/2014 0:00,mm,34,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,4/1/2014 0:00,mm,118,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,5/1/2014 0:00,mm,108,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,6/1/2014 0:00,mm,181,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,7/1/2014 0:00,mm,206,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,8/1/2014 0:00,mm,127,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,9/1/2014 0:00,mm,105,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,10/1/2014 0:00,mm,68,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,11/1/2014 0:00,mm,51,Preliminar
35070100,SOMONDOCO [35070100],PRECIPITACION,Precipitación total mensual,12/1/2014 0:00,mm,15,Preliminar
