CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,1/1/2010 0:00,mm,1.5,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,2/1/2010 0:00,mm,39.5,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,3/1/2010 0:00,mm,274.3,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,4/1/2010 0:00,mm,503.3,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,5/1/2010 0:00,mm,510.8,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,6/1/2010 0:00,mm,411.5,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,7/1/2010 0:00,mm,279,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,8/1/2010 0:00,mm,104.2,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,9/1/2010 0:00,mm,75,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,10/1/2010 0:00,mm,83.3,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,11/1/2010 0:00,mm,106,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,12/1/2010 0:00,mm,88.2,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,1/1/2011 0:00,mm,17.5,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,2/1/2011 0:00,mm,46,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,5/1/2011 0:00,mm,346.6,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,6/1/2011 0:00,mm,181.7,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,7/1/2011 0:00,mm,170,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,8/1/2011 0:00,mm,260.2,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,9/1/2011 0:00,mm,195.8,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,10/1/2011 0:00,mm,134.8,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,11/1/2011 0:00,mm,68.9,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,12/1/2011 0:00,mm,35.7,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,1/1/2012 0:00,mm,9.2,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,2/1/2012 0:00,mm,19.4,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,3/1/2012 0:00,mm,174.7,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,4/1/2012 0:00,mm,174.7,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,5/1/2012 0:00,mm,175.7,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,6/1/2012 0:00,mm,160.3,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,7/1/2012 0:00,mm,204,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,8/1/2012 0:00,mm,187.4,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,9/1/2012 0:00,mm,74,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,10/1/2012 0:00,mm,90.2,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,11/1/2012 0:00,mm,40.8,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,12/1/2012 0:00,mm,25.3,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,1/1/2013 0:00,mm,1.2,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,2/1/2013 0:00,mm,34.8,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,3/1/2013 0:00,mm,88.5,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,4/1/2013 0:00,mm,55.5,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,5/1/2013 0:00,mm,92.4,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,6/1/2013 0:00,mm,58,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,7/1/2013 0:00,mm,96.2,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,8/1/2013 0:00,mm,122.5,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,9/1/2013 0:00,mm,82,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,10/1/2013 0:00,mm,21.8,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,11/1/2013 0:00,mm,71.8,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,12/1/2013 0:00,mm,16,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,1/1/2014 0:00,mm,3.3,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,2/1/2014 0:00,mm,1.6,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,6/1/2014 0:00,mm,179.3,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,7/1/2014 0:00,mm,612.2,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,8/1/2014 0:00,mm,435.5,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,10/1/2014 0:00,mm,388,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,11/1/2014 0:00,mm,241.7,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,12/1/2014 0:00,mm,0,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,1/1/2015 0:00,mm,38,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,2/1/2015 0:00,mm,39,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,3/1/2015 0:00,mm,18.6,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,4/1/2015 0:00,mm,161.3,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,5/1/2015 0:00,mm,40.5,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,6/1/2015 0:00,mm,145.5,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,7/1/2015 0:00,mm,57.6,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,8/1/2015 0:00,mm,38.8,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,9/1/2015 0:00,mm,29.8,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,10/1/2015 0:00,mm,15.6,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,11/1/2015 0:00,mm,241.1,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,6/1/2016 0:00,mm,260.5,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,7/1/2016 0:00,mm,347.2,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,8/1/2016 0:00,mm,242.4,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,9/1/2016 0:00,mm,238.7,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,10/1/2016 0:00,mm,123.2,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,11/1/2016 0:00,mm,174.5,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,12/1/2016 0:00,mm,61.5,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,1/1/2017 0:00,mm,68.4,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,2/1/2017 0:00,mm,34.4,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,3/1/2017 0:00,mm,145.8,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,4/1/2017 0:00,mm,102,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,5/1/2017 0:00,mm,217.5,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,6/1/2017 0:00,mm,280.2,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,7/1/2017 0:00,mm,278.6,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,8/1/2017 0:00,mm,190.7,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,9/1/2017 0:00,mm,166,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,10/1/2017 0:00,mm,136.2,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,11/1/2017 0:00,mm,94.4,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,12/1/2017 0:00,mm,25.5,Preliminar
35070320,MARTOTA [35070320],PRECIPITACION,Precipitación total mensual,1/1/2018 0:00,mm,37.3,Preliminar
